id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,ISBN
0,The A.B.C. Murders,,1936,/wiki/The_A.B.C._Murders,Agatha Christie,The Alphabet Murders,/wiki/The_Alphabet_Murders,1966,978-1-57912-624-7
1,The A.B.C. Murders,,1936,/wiki/The_A.B.C._Murders,Agatha Christie,The A.B.C. Murders,/wiki/List_of_Agatha_Christie%27s_Poirot_episodes#Series_Four_(1992),1992,978-1-57912-624-7
2,À ton image,,1998,,Louise L. Lambrichs,À ton image,/wiki/%C3%80_ton_image,2004,
3,De Aanslag,The Assault,1982,/wiki/De_Aanslag,Harry Mulisch,The Assault,/wiki/The_Assault_(film),1986,0-394-54245-2
4,About a Boy,,1998,/wiki/About_a_Boy_(novel),Nick Hornby,About a Boy,/wiki/About_a_Boy_(film),2002,0-575-06159-6
5,About Schmidt,,1996,,Louis Begley,About Schmidt,/wiki/About_Schmidt,2002,
6,Absolute Power,,1996,/wiki/Absolute_Power_(novel),David Baldacci,Absolute Power,/wiki/Absolute_Power_(film),1997,978-0-446-60358-4
7,The Accidental Tourist,,1985,/wiki/The_Accidental_Tourist,Anne Tyler,The Accidental Tourist,/wiki/The_Accidental_Tourist_(film),1988,9780345452009
8,Across 110th,,1970,,,Across 110th Street,/wiki/Across_110th_Street,1972,
9,Adam Resurrected,"Man, Son of a Dog",1971,,Yoram Kaniuk,Adam Resurrected,/wiki/Adam_Resurrected,2009,
10,Adams Fall,,2000,/wiki/Adams_Fall,,Abandon,/wiki/Abandon_(2002_film),2002,978-0-312-26254-9
11,Addie Pray,,1971,/wiki/Addie_Pray,Joe David Brown,Paper Moon,/wiki/Paper_Moon_(film),1973,
12,Adiliya by the River,,1999,,,Green Tea,/wiki/Green_Tea_(film),2003,
13,Adolphe,,1816,/wiki/Adolphe,Benjamin Constant,Adolphe,/wiki/Adolphe_(film),2002,
14,Adventure,,1911,,Jack London,Adventure,/wiki/Adventure_(1925_film),1925,
15,The Adventurers,,1966,/w/index.php?title=The_Adventurers_(novel)&action=edit&redlink=1,Harold Robbins,The Adventurers,/wiki/The_Adventurers_(1970_film),1970,
16,The Adventures of Captain Alatriste,Las aventuras del Capitán Alatriste,1996,,Arturo Pérez-Reverte,Alatriste,/wiki/Alatriste,2006,
17,The Adventures of Hajji Baba of Ispahan,,1824,,James Justinian Morier,The Adventures of Hajji Baba,/wiki/The_Adventures_of_Hajji_Baba,1954,
18,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huck and Tom,/wiki/Huck_and_Tom,1918,
19,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1920_film),1920,
20,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1931_film),1931,
21,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huck Finn,/w/index.php?title=Huck_Finn_(1937_film)&action=edit&redlink=1,1937,
22,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Huckleberry Finn,/wiki/The_Adventures_of_Huckleberry_Finn_(1939_film),1939,
23,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Huckleberry Finn,/wiki/The_Adventures_of_Huckleberry_Finn_(1955_film),1955,
24,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Huckleberry Finn,/wiki/The_Adventures_of_Huckleberry_Finn_(1960_film),1960,
25,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1974_film),1974,
26,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Hopelessly Lost,/wiki/Hopelessly_Lost,1972,
27,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1975_film),1975,
28,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Huckleberry Finn,/w/index.php?title=The_Adventures_of_Huckleberry_Finn_(1981_film)&action=edit&redlink=1,1981,
29,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Adventures of Huckleberry Finn,/w/index.php?title=Adventures_of_Huckleberry_Finn_(1985_film)&action=edit&redlink=1,1985,
30,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Mark Twain,/wiki/The_Adventures_of_Mark_Twain_(1985_film),1985,
31,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,/wiki/Back_to_Hannibal:_The_Return_of_Tom_Sawyer_and_Huckleberry_Finn,1990,
32,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,The Adventures of Huck Finn,/wiki/The_Adventures_of_Huck_Finn_(1993_film),1993,
33,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Tom and Huck,/wiki/Tom_and_Huck,1995,
34,Adventures of Huckleberry Finn,,1884,/wiki/Adventures_of_Huckleberry_Finn,Mark Twain,Tomato Sawyer and Huckleberry Larry's Big River Rescue,/wiki/Tomato_Sawyer_and_Huckleberry_Larry%27s_Big_River_Rescue,2008,
35,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,The Adventures of Pinocchio,/wiki/The_Adventures_of_Pinocchio_(1936_film),1936,
36,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(1940_film),1940,
37,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(1957_TV-musical),1957,
