id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,ISBN
38,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,The Adventures of Buratino,/wiki/The_Adventures_of_Buratino_(1959_film),1959,
39,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio in Outer Space,/wiki/Pinocchio_in_Outer_Space,1965,
40,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(1968_film),1968,
41,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(1972_film),1972,
42,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,The Adventures of Buratino,/wiki/The_Adventures_of_Buratino_(1975_film),1975,
43,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/w/index.php?title=Pinocchio_(1976_TV-musical)&action=edit&redlink=1,1976,
44,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,The Adventures of Pinocchio,/w/index.php?title=The_Adventures_of_Pinocchio_(1984_film)&action=edit&redlink=1,1984,
45,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio and the Emperor of the Night,/wiki/Pinocchio_and_the_Emperor_of_the_Night,1987,
46,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,964 Pinocchio,/wiki/964_Pinocchio,1991,
47,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(1992_film),1992,
48,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio's Revenge,/wiki/Pinocchio%27s_Revenge,1996,
49,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,The Adventures of Pinocchio,/wiki/The_Adventures_of_Pinocchio_(1996_film),1996,
50,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Geppetto,/wiki/Geppetto_(TV_musical),2000,
51,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,A.I. Artificial Intelligence,/wiki/A.I._Artificial_Intelligence,2001,
52,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,A Tree of Palme,/wiki/A_Tree_of_Palme,2002,
53,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(2002_film),2002,
54,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio 3000,/wiki/Pinocchio_3000,2004,
55,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pinocchio,/wiki/Pinocchio_(2008_film),2008,
56,The Adventures of Pinocchio,,1883,/wiki/The_Adventures_of_Pinocchio,Carlo Collodi,Pistachio – The Little Boy That Woodn't,/wiki/Pistachio_%E2%80%93_The_Little_Boy_That_Woodn%27t,2010,
57,The Adventures of Sherlock Holmes,,1891,/wiki/The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,"Adventures of Sherlock Holmes; or, Held for Ransom","/wiki/Adventures_of_Sherlock_Holmes;_or,_Held_for_Ransom",1905,
58,The Adventures of Sherlock Holmes,,1891,/wiki/The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,The Adventures of Sherlock Holmes,/w/index.php?title=The_Adventures_of_Sherlock_Holmes_(1921_film)&action=edit&redlink=1,1921,
59,The Adventures of Sherlock Holmes,,1891,/wiki/The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,The Adventures of Sherlock Holmes,/wiki/The_Adventures_of_Sherlock_Holmes_(film),1939,
60,The Adventures of Sherlock Holmes,,1891,/wiki/The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,The Adventures of Sherlock Holmes and Dr. Watson,/wiki/The_Adventures_of_Sherlock_Holmes_and_Dr._Watson,1979,
61,The Adventures of Sherlock Holmes,,1891,/wiki/The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,Sheerluck Holmes and the Golden Ruler,/wiki/Sheerluck_Holmes_and_the_Golden_Ruler,2006,
62,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/wiki/Tom_Sawyer_(1907_film),1907,
63,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/wiki/Tom_Sawyer_(1917_film),1917,
64,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Huck and Tom,/wiki/Huck_and_Tom,1918,
65,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/wiki/Tom_Sawyer_(1930_film),1930,
66,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1931_film),1931,
67,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,The Adventures of Tom Sawyer,/wiki/The_Adventures_of_Tom_Sawyer_(1938_film),1938,
68,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/w/index.php?title=Tom_Sawyer_(1936_film)&action=edit&redlink=1,1936,
69,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,The Adventures of Mark Twain,/wiki/The_Adventures_of_Mark_Twain_(1944_film),1944,
70,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/wiki/Tom_Sawyer_(1973_film),1973,
71,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1974_film),1974,
72,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/w/index.php?title=Tom_Sawyer_(1973_television_film)&action=edit&redlink=1,1973,
73,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Huckleberry Finn,/wiki/Huckleberry_Finn_(1975_film),1975,
74,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/w/index.php?title=Tom_Sawyer_(1984_film)&action=edit&redlink=1,1984,
75,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,The Adventures of Mark Twain,/wiki/The_Adventures_of_Mark_Twain_(1985_film),1985,
76,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,/wiki/Back_to_Hannibal:_The_Return_of_Tom_Sawyer_and_Huckleberry_Finn,1990,
77,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom and Huck,/wiki/Tom_and_Huck,1995,
78,The Adventures of Tom Sawyer,,1876,/wiki/The_Adventures_of_Tom_Sawyer,Mark Twain,Tom Sawyer,/wiki/Tom_Sawyer_(2000_film),2000,
79,Advise and Consent,,1959,/wiki/Advise_and_Consent,Allen Drury,Advise & Consent,/wiki/Advise_%26_Consent_(film),1962,0-385-05419-X
80,Aelita,"Aelita or, The Decline of Mars",0,/wiki/Aelita_(novel),Alexei Tolstoy,Aelita,/wiki/Aelita,1924,
81,The African Queen,,1935,/wiki/The_African_Queen_(novel),C. S. Forester,The African Queen,/wiki/The_African_Queen_(film),1951,
82,"After Dark, My Sweet",,1955,,Jim Thompson,"After Dark, My Sweet","/wiki/After_Dark,_My_Sweet",1990,
83,After Hours,,1979,,Edwin Torres,Carlito's Way,/wiki/Carlito%27s_Way,1993,
84,After the Funeral,,1953,/wiki/After_the_Funeral,Agatha Christie,Murder at the Gallop,/wiki/Murder_at_the_Gallop,1963,
85,The Age of Innocence,,1921,/wiki/The_Age_of_Innocence,Edith Wharton,The Age of Innocence,"/wiki/The_Age_of_Innocence#Film,_TV_or_theatrical_adaptations_-_The_Age_of_Innocence_(1924_film)",1924,
86,The Age of Innocence,,1921,/wiki/The_Age_of_Innocence,Edith Wharton,The Age of Innocence,"/wiki/The_Age_of_Innocence#Film,_TV_or_theatrical_adaptations_-_The_Age_of_Innocence_(1928_film)",1928,
87,The Age of Innocence,,1921,/wiki/The_Age_of_Innocence,Edith Wharton,The Age of Innocence,"/wiki/The_Age_of_Innocence#Film,_TV_or_theatrical_adaptations_-_The_Age_of_Innocence_(1934_film)",1934,
88,The Age of Innocence,,1921,/wiki/The_Age_of_Innocence,Edith Wharton,The Age of Innocence,/wiki/The_Age_of_Innocence_(1993_film),1993,
89,The Agony and the Ecstasy,,1961,/wiki/The_Agony_and_the_Ecstasy_(novel),Irving Stone,The Agony and the Ecstasy,/wiki/The_Agony_and_the_Ecstasy_(film),1965,0-451-21323-8
90,Äideistä parhain,Mother of Mine,1999,,,Äideistä parhain,/wiki/%C3%84ideist%C3%A4_parhain,0,
91,Äideistä parhain,Mother of Mine,1999,,,Mother of Mine,,2005,
92,Äideistä parhain,Mother of Mine,1999,,,Den bästa av mödrar,,0,
93,Aimez-vous Brahms?,,1959,/wiki/Aimez-vous_Brahms%3F,Françoise Sagan,Goodbye Again,/wiki/Goodbye_Again_(1961_film),1961,
94,Aimez-vous Brahms?,,1959,/wiki/Aimez-vous_Brahms%3F,Françoise Sagan,Jahan Tum Le Chalo,/wiki/Jahan_Tum_Le_Chalo,1999,
95,Air America,,1985,,,Air America,/wiki/Air_America_(film),1990,
96,Airborn,,2004,/wiki/Airborn_(Oppel_novel),Kenneth Oppel,Airborn,/wiki/Airborn_(Oppel_novel),2012,978-0-00-200537-1
97,Airport,,1968,/wiki/Airport_(novel),Arthur Hailey,Airport,/wiki/Airport_(1970_film),1970,
98,Airport,,1968,/wiki/Airport_(novel),Arthur Hailey,Airport 1975,/wiki/Airport_1975,1975,
99,Airport,,1968,/wiki/Airport_(novel),Arthur Hailey,Airport '77,/wiki/Airport_%2777,1977,
100,Airport,,1968,/wiki/Airport_(novel),Arthur Hailey,The Concorde ... Airport '79,/wiki/The_Concorde_..._Airport_%2779,1979,
101,Alice Adams,,1921,/wiki/Alice_Adams_(novel),Booth Tarkington,Alice Adams,/wiki/Alice_Adams_(1923_film),1923,
102,Alice Adams,,1921,/wiki/Alice_Adams_(novel),Booth Tarkington,Alice Adams,/wiki/Alice_Adams_(film),1935,
103,Allan Quatermain,,1887,/wiki/Allan_Quatermain,,Allan Quatermain and the Lost City of Gold,/wiki/Allan_Quatermain_and_the_Lost_City_of_Gold,1987,
104,All Fall Down,,1960,/wiki/All_Fall_Down_(novel),James Leo Herlihy,All Fall Down,/wiki/All_Fall_Down_(film),1962,
105,All the Brothers Were Valiant,,1919,/wiki/All_the_Brothers_Were_Valiant_(novel),Ben Ames Williams,All the Brothers Were Valiant,/wiki/All_the_Brothers_Were_Valiant_(1923_film),1923,
106,All the Brothers Were Valiant,,1919,/wiki/All_the_Brothers_Were_Valiant_(novel),Ben Ames Williams,Across to Singapore,/wiki/Across_to_Singapore,1928,
107,All the Brothers Were Valiant,,1919,/wiki/All_the_Brothers_Were_Valiant_(novel),Ben Ames Williams,All the Brothers Were Valiant,/wiki/All_the_Brothers_Were_Valiant_(1953_film),1953,
108,All the King's Men,,1946,/wiki/All_the_King%27s_Men,Robert Penn Warren,All the King's Men,/wiki/All_the_King%27s_Men_(1949_film),1949,
109,All the King's Men,,1946,/wiki/All_the_King%27s_Men,Robert Penn Warren,All the King's Men,/wiki/All_the_King%27s_Men_(2006_film),2006,
110,All the Pretty Horses,,1992,/wiki/All_the_Pretty_Horses_(novel),Cormac McCarthy,All the Pretty Horses,/wiki/All_the_Pretty_Horses_(film),2000,0-394-57474-5
111,All the Rivers Run,,1958,,Nancy Cato,All the Rivers Run,/wiki/All_the_Rivers_Run,1983,
112,All the Way,,2001,,,Sex Drive,/wiki/Sex_Drive_(film),2008,
113,All You Need Is Kill,,2009,,,Edge of Tomorrow,/wiki/Edge_of_Tomorrow_(film),2014,
114,Almayer's Folly,,1895,/wiki/Almayer%27s_Folly,Joseph Conrad,Hanyut,/wiki/Hanyut/Almayer%27s_Folly_(film),2011,
115,Almayer's Folly,,1895,/wiki/Almayer%27s_Folly,Joseph Conrad,Almayer's Folly,/wiki/Almayer%27s_Folly_(film),2011,
116,Along Came a Spider,,1993,/wiki/Along_Came_a_Spider_(novel),James Patterson,Along Came a Spider,/wiki/Along_Came_a_Spider_(film),2001,0-316-69364-2
117,Altered States,,1978,,Paddy Chayefsky,Altered States,/wiki/Altered_States,1980,
118,Always Another Dawn,,1948,,Zelma Roberts,Always Another Dawn,/wiki/Always_Another_Dawn,1948,
119,"Always Outnumbered, Always Outgunned",,1987,"/wiki/Always_Outnumbered,_Always_Outgunned",Walter Mosley,Always Outnumbered,/wiki/Always_Outnumbered,1998,978-0-393-04539-0
120,El Amante Bilingüe,The Bilingual Lover,1990,,Juan Marsé,El Amante Bilingüe,/wiki/El_Amante_Biling%C3%BCe,1993,
121,El Amateur,The Amateur,1990,,,El Amateur,/wiki/El_Amateur,1999,
122,An American Dream,,1965,/wiki/An_American_Dream_(novel),Norman Mailer,An American Dream,/wiki/An_American_Dream_(film),1966,
123,American Knees,,1995,/wiki/American_Knees,Shawn Wong,Americanese,/wiki/Americanese,2006,978-0-295-98496-4
124,American Psycho,,1991,/wiki/American_Psycho,Bret Easton Ellis,American Psycho,/wiki/American_Psycho_(film),2000,978-0-679-73577-9
125,American Psycho,,1991,/wiki/American_Psycho,Bret Easton Ellis,American Psycho 2: All-American Girl,/wiki/American_Psycho_2,2002,978-0-679-73577-9
126,American Splendor,,1976,/wiki/American_Splendor,Harvey Pekar,American Splendor,/wiki/American_Splendor_(film),2003,
127,An American Tragedy,,1925,/wiki/An_American_Tragedy,Theodore Dreiser,A Place in the Sun,/wiki/A_Place_in_the_Sun_(film),1951,
128,The Americanization of Emily,,1959,,William Bradford Huie,The Americanization of Emily,/wiki/The_Americanization_of_Emily,1964,
129,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Klassenverhältnisse,/wiki/Klassenverh%C3%A4ltnisse,0,978-0-8112-1569-5
130,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Class Relations,,1984,978-0-8112-1569-5
131,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Intervista,/wiki/Intervista,1987,978-0-8112-1569-5
132,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Amerika,/wiki/Amerika_(novel)#Amerika,1994,978-0-8112-1569-5
133,Les amitiés particulières,This Special Friendship,1943,/wiki/Les_amiti%C3%A9s_particuli%C3%A8res,Roger Peyrefitte,Les amitiés particulières,/wiki/Les_amiti%C3%A9s_particuli%C3%A8res_(film),1964,
134,The Amityville Horror,,1977,/wiki/The_Amityville_Horror,Jay Anson,The Amityville Horror,/wiki/The_Amityville_Horror_(1979_film),1979,
135,The Amityville Horror,,1977,/wiki/The_Amityville_Horror,Jay Anson,The Amityville Horror,/wiki/The_Amityville_Horror_(2005_film),2005,
136,El Amor infiel,The Unfaithful Love,1970,,Mario David,El Amor infiel,/wiki/El_Amor_infiel,1974,
137,Amos Judd,,1895,,John Ames Mitchell,The Young Rajah,/wiki/The_Young_Rajah,1922,
138,Amu,,2005,,Shonali Bose,Amu,/wiki/Amu_(film),2005,
139,La Anam,Sleepless,1969,/wiki/La_Anam_(novel),Ihsan Abdel Quddous,La Anam,/wiki/La_Anam,1957,
140,Anatomy of a Murder,,1958,,John D. Voelker,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,1959,
141,And Now Tomorrow,,1942,/wiki/And_Now_Tomorrow,Rachel Field,And Now Tomorrow,/wiki/And_Now_Tomorrow#1944_movie,1944,
142,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,And Then There Were None,/wiki/And_Then_There_Were_None_(1945_film),1945,
143,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Ten Little Indians,/wiki/And_Then_There_Were_None#Ten_Little_Indians_(1959_TV_adaptation),1959,
144,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Gumnaam,/wiki/And_Then_There_Were_None#Gumnaam_(1965),1965,
145,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Ten Little Indians,/wiki/Ten_Little_Indians_(1965_film),1965,
146,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Zehn kleine Negerlein,/wiki/And_Then_There_Were_None#Zehn_kleine_Negerlein_(1969_German_TV_adaptation),1969,
147,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,And Then There Were None,/wiki/And_Then_There_Were_None_(1974_film),1974,
148,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Desyat Negrityat,/wiki/Desyat_Negrityat,1987,
149,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Ten Little Indians,/wiki/Ten_Little_Indians_(1989_film),1989,
150,And Then There Were None,,1939,/wiki/And_Then_There_Were_None,Agatha Christie,Identity,/wiki/Identity_(film),2003,
151,The Anderson Tapes,,1969,/wiki/The_Anderson_Tapes_(novel),Lawrence Sanders,The Anderson Tapes,/wiki/The_Anderson_Tapes,1971,978-0891908548
152,Andromeda: A Space-Age Tale,,1957,/wiki/Andromeda_(novel),Ivan Yefremov,The Andromeda Nebula,/wiki/The_Andromeda_Nebula,1967,0-8285-1856-4
153,The Andromeda Strain,,1969,/wiki/The_Andromeda_Strain,Michael Crichton,The Andromeda Strain,/wiki/The_Andromeda_Strain_(film),1971,0-394-41525-6
154,The Andromeda Strain,,1969,/wiki/The_Andromeda_Strain,Michael Crichton,The Andromeda Strain,/wiki/The_Andromeda_Strain_(TV_miniseries),2008,0-394-41525-6
155,Angel,,1957,/wiki/Angel_(novel),Elizabeth Taylor,Angel,/wiki/Angel_(2007_film),2007,1844083071
156,Angel Square,,1987,,Brian Doyle,Angel Square,/wiki/Angel_Square,1990,
157,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,"Angélique, marquise des anges","/wiki/Ang%C3%A9lique,_marquise_des_anges",1964,
158,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,Merveilleuse Angélique,/wiki/Merveilleuse_Ang%C3%A9lique,1965,
159,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,Angélique et le roy,/wiki/Angelica_and_the_King,1966,
160,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,Angélique et le roy,,0,
161,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,Indomptable Angélique [fr],/w/index.php?title=Indomptable_Ang%C3%A9lique&action=edit&redlink=1,1967,
162,Angélique,,1957,/wiki/Angelique_(French_series),Anne Golon,Angélique et le Sultan [fr],/w/index.php?title=Ang%C3%A9lique_et_le_Sultan&action=edit&redlink=1,1968,
163,Angels & Demons,,2000,/wiki/Angels_%26_Demons,Dan Brown,Angels & Demons,/wiki/Angels_%26_Demons_(film),2009,0-671-02735-2
164,Anglo-Saxon Attitudes,,1956,/wiki/Anglo-Saxon_Attitudes,Angus Wilson,Anglo-Saxon Attitudes,/wiki/Anglo-Saxon_Attitudes#Film_adaptation,1992,
165,The Angry Hills,,1955,/wiki/The_Angry_Hills,Leon Uris,The Angry Hills,/wiki/The_Angry_Hills_(film),1959,
166,Die Angst des Tormanns beim Elfmeter,The Goalkeeper's Fear of the Penalty,1970,,Peter Handke,The Goalkeeper's Fear of the Penalty,/wiki/The_Goalkeeper%27s_Fear_of_the_Penalty,1972,
167,Un animal doué de raison,A Sentient Animal,1967,/w/index.php?title=Un_animal_dou%C3%A9_de_raison&action=edit&redlink=1,Robert Merle,The Day of the Dolphin,/wiki/The_Day_of_the_Dolphin,1973,
168,Animal Farm,,1945,/wiki/Animal_Farm,George Orwell,Animal Farm,/wiki/Animal_Farm_(1954_film),1954,
169,Animal Farm,,1945,/wiki/Animal_Farm,George Orwell,Animal Farm,/wiki/Animal_Farm_(1999_film),1999,
170,Anna and the King of Siam,,1944,/wiki/Anna_and_the_King_of_Siam_(novel),Margaret Landon,Anna and the King of Siam,/wiki/Anna_and_the_King_of_Siam_(film),1946,
171,Anna and the King of Siam,,1944,/wiki/Anna_and_the_King_of_Siam_(novel),Margaret Landon,The King and I,/wiki/The_King_and_I_(1956_film),1956,
172,Anna and the King of Siam,,1944,/wiki/Anna_and_the_King_of_Siam_(novel),Margaret Landon,The King and I,/wiki/The_King_and_I_(1999_film),1999,
173,Anna and the King of Siam,,1944,/wiki/Anna_and_the_King_of_Siam_(novel),Margaret Landon,Anna and the King,/wiki/Anna_and_the_King,1999,
174,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1914_film),1914,978-1-84749-059-9
