imdbid,book_id,title,author,year,full_name,budget,revenue,runtime,poster_path,rating_average,vote_count,standardized_rating,normalized_rating,goodreads_scale_rating
tt0074746,298663.0,The Killer Inside Me,Jim Thompson,1976.0,The Killer Inside Me 1976,0,0,99.0,/2AAcbSL9x3Sar57nEUWy02DySJo.jpg,6.1,333.0,-0.418388204079602,0.563380281690141,3.05
tt0954947,298663.0,The Killer Inside Me,Jim Thompson,2010.0,The Killer Inside Me 2010,13000000,0,109.0,/9iaV9bNNFBxEWLjnMGvSmnNY4Uj.jpg,6.1,31460.0,-0.418388204079602,0.563380281690141,3.05
tt0061742,80950.0,Kipps,H. G. Wells,1967.0,Half a Sixpence 1967,0,0,143.0,/5RTINBisGEISvU9YZFftsUj0aeD.jpg,6.5,494.0,-0.0227350227415655,0.619718309859155,3.25
tt0089424,588242.0,Kiss of the Spider Woman,Manuel Puig,1985.0,Kiss of the Spider Woman 1985,0,0,120.0,/xvKVV1plZeJmwUZT9fMoUIugsCx.jpg,7.4,12762.0,0.867484635269017,0.746478873239437,3.7
tt0119468,896231.0,Kiss the Girls,James Patterson,1997.0,Kiss the Girls 1997,27000000,60527873,115.0,/m9CyzlwbXhfUPooRIAcBoE63Frg.jpg,6.6,58332.0,0.0761782725929433,0.633802816901408,3.3
tt0042648,167046.0,Kiss Tomorrow Goodbye,Horace McCoy,1950.0,Kiss Tomorrow Goodbye 1950,0,0,103.0,/uyAuCMBRGenkksmKD4rGhVGpTxX.jpg,7.2,1494.0,0.669658044599998,0.71830985915493,3.6
tt0071721,685970.0," (1967), William Bradford Huie",0,1974.0,The Klansman 1974,5000000,0,112.0,/qvPIXWvAiu2v4iWvLA46yS9lmRx.jpg,5.1,1138.0,-1.40752115742469,0.422535211267606,2.55
tt0067490,996660.0,Kolchak: The Kolchak Papers,0,1972.0,The Night Stalker 1972,0,0,74.0,/dij60cVBL39B5t1SdGQr33APksC.jpg,7.8,4494.0,1.26313781660705,0.802816901408451,3.9
tt0069002,996660.0,Kolchak: The Kolchak Papers,0,1973.0,The Night Strangler 1973,0,0,74.0,/xp3rvEEb9PsCBYeF6swCE7aIlMN.jpg,7.6,2261.0,1.06531122593803,0.774647887323944,3.8
tt0118851,1218426.0,Kowloon Tong,Paul Theroux,1997.0,Chinese Box 1997,0,0,99.0,/uhBgCcj0rnqUevY4pRtIEbixhPf.jpg,6.3,2933.0,-0.220561613410584,0.591549295774648,3.15
tt0096933,289991.0,Kuroi Ame,Masuji Ibuse,1989.0,Black Rain 1989,30000000,45892212,125.0,/dmMIMuByEbzE0x73gjc9YcDjjlx.jpg,6.6,44930.0,0.0761782725929433,0.633802816901408,3.3
tt0097694,289991.0,Kuroi Ame,Masuji Ibuse,1989.0,Black Rain 1989,0,0,123.0,/2Ox4SIz7NN54W0m1m1JM7Ooo0nB.jpg,8.0,2623.0,1.46096440727607,0.830985915492958,4.0
tt0119488,1676273.0,L.A. Confidential,James Ellroy,1997.0,L.A. Confidential 1997,35000000,126216940,138.0,/rIXzJCAvyd3Ci8ipylDQ5wUKqwh.jpg,8.3,485952.0,1.7577042932796,0.873239436619718,4.15
tt0228502,6159440.0,Lady Audley's Secret,Mary Elizabeth Braddon,2000.0,Lady Audley's Secret 2000,0,0,,,6.0,190.0,-0.517301499414111,0.549295774647887,3.0
tt0059377,70700.0,Lady L,Romain Gary,1965.0,Lady L 1965,0,0,117.0,/mJzYqNqBv4HSt6J4eExeQewyISu.jpg,5.6,898.0,-0.912954680752148,0.492957746478873,2.8
tt0012027,10528756.0,The Lady of the Camellias,"Alexandre Dumas, fils",1921.0,Camille 1921,0,0,70.0,/y7L0YWMj8cDye13odPLU7nIRgDs.jpg,6.6,821.0,0.0761782725929433,0.633802816901408,3.3
tt0929410,10528756.0,The Lady of the Camellias,"Alexandre Dumas, fils",1926.0,Camille 1926,0,0,33.0,/oYgq597vLxhpb46D7AWLiwc1BEr.jpg,5.0,144.0,-1.5064344527592,0.408450704225352,2.5
tt0028683,10528756.0,The Lady of the Camellias,"Alexandre Dumas, fils",1936.0,Camille 1936,0,0,109.0,/tUKmJmT9lvneKrXr83Pn9MWDLWH.jpg,7.5,6517.0,0.966397930603525,0.76056338028169,3.75
tt0064122,10528756.0,The Lady of the Camellias,"Alexandre Dumas, fils",1969.0,Camille 2000 1969,0,0,130.0,/7qGmVgzJ0VoeYVwfJ7udluvGRxi.jpg,5.9,553.0,-0.61621479474862,0.535211267605634,2.95
tt0087028,10528756.0,The Lady of the Camellias,"Alexandre Dumas, fils",1984.0,Camille 1984,0,0,100.0,/hYrMtK2uIfS0A3ssQdTQm2qQzOT.jpg,6.3,426.0,-0.220561613410584,0.591549295774648,3.15
tt0095488,35819.0,The Lair of the White Worm,Bram Stoker,1988.0,The Lair of the White Worm 1988,2500000,1189315,93.0,/sSNQFYOHkey0Yke2qR3y1Y7KX6e.jpg,5.9,8696.0,-0.61621479474862,0.535211267605634,2.95
tt0076535,403277.0,The Land That Time Forgot,Edgar Rice Burroughs,1977.0,The People That Time Forgot 1977,0,0,90.0,/rk1YR01NPLeuErRhkRmCmDdyGAF.jpg,5.4,2432.0,-1.11078127142117,0.464788732394366,2.7
tt0076535,1041041.0,The People That Time Forgot,Edgar Rice Burroughs,1977.0,The People That Time Forgot 1977,0,0,90.0,/rk1YR01NPLeuErRhkRmCmDdyGAF.jpg,5.4,2432.0,-1.11078127142117,0.464788732394366,2.7
tt1410205,403277.0,The Land That Time Forgot,Edgar Rice Burroughs,2009.0,The Land That Time Forgot 2009,0,0,90.0,/h8nBiqWc6EyoCmp7Dry6JiUnMjN.jpg,3.2,1704.0,-3.28687376878037,0.154929577464789,1.6
tt0036098,895886.0,Lassie Come-Home,Eric Knight,1943.0,Lassie Come Home 1943,0,0,88.0,/56kDCzHX8nkWZ4hzBb7P6Uh15VH.jpg,7.2,4475.0,0.669658044599998,0.71830985915493,3.6
tt0038097,895886.0,Lassie Come-Home,Eric Knight,1945.0,Son of Lassie 1945,0,0,102.0,/ugbrn6v7Q4Z82kxYEVr5FJ2Moxd.jpg,6.5,670.0,-0.0227350227415655,0.619718309859155,3.25
tt0038427,895886.0,Lassie Come-Home,Eric Knight,1946.0,Courage of Lassie 1946,0,0,92.0,/wlr2UVfxcoxvXWJkPwAKfFrGKoo.jpg,6.4,1210.0,-0.121648318076074,0.605633802816901,3.2
tt0040438,895886.0,Lassie Come-Home,Eric Knight,1948.0,Hills of Home 1948,0,0,97.0,/q7YTPU4Xkvl35sQzCN3WcRXknat.jpg,6.8,517.0,0.274004863261962,0.661971830985915,3.4
tt0040849,895886.0,Lassie Come-Home,Eric Knight,1949.0,The Sun Comes Up 1949,0,0,93.0,/ekFBFxmkLcUwzYIOKfWtWzFOae.jpg,6.8,297.0,0.274004863261962,0.661971830985915,3.4
tt0126993,895886.0,Lassie Come-Home,Eric Knight,1963.0,Lassie's Great Adventure 1963,0,0,73.0,/x3wMWL0bGA7KTZ0E8dYAnwHxzDz.jpg,6.3,190.0,-0.220561613410584,0.591549295774648,3.15
tt0110305,895886.0,Lassie Come-Home,Eric Knight,1994.0,Lassie 1994,0,0,94.0,/7RebpDOVAPu28mdWzUGB8GSSQpq.jpg,5.9,4667.0,-0.61621479474862,0.535211267605634,2.95
tt0431213,895886.0,Lassie Come-Home,Eric Knight,2005.0,Lassie 2005,0,0,100.0,/Abm9ya0CmkIbzB7CE229tHKI4Ed.jpg,6.7,3807.0,0.175091567927453,0.647887323943662,3.35
tt0000160,888.0,The Last Days of Pompeii,Edward Bulwer-Lytton,1900.0,The Last Days of Pompeii 1900,0,0,,,5.8,8.0,-0.715128090083129,0.52112676056338,2.9
tt0026605,888.0,The Last Days of Pompeii,Edward Bulwer-Lytton,1935.0,The Last Days of Pompeii 1935,0,0,96.0,/rLgW731EzMIYVyhc1k9O2K5XnNb.jpg,6.5,829.0,-0.0227350227415655,0.619718309859155,3.25
tt0070290,1425024.0,The Last Detail,Darryl Ponicsan,1973.0,The Last Detail 1973,2300000,10000000,105.0,/4kcSyOXWd42G2zAzdSXCx6nhflb.jpg,7.6,19567.0,1.06531122593803,0.774647887323944,3.8
tt0049432,8472043.0,The Last Hunt,Milton Lott,1956.0,The Last Hunt 1956,0,0,108.0,/eEkdVGU2CM94tnkRyl8rcQtP32c.jpg,7.0,1226.0,0.47183145393098,0.690140845070423,3.5
tt0021051,121359.0,The Last of the Duanes,Zane Grey,1930.0,The Last of the Duanes 1930,0,0,62.0,/4t226mBUUoYmZ3EawKcIFwvMjym.jpg,5.8,38.0,-0.715128090083129,0.52112676056338,2.9
tt0033817,121359.0,The Last of the Duanes,Zane Grey,1941.0,Last of the Duanes 1941,0,0,57.0,/8ui29X8ktmb82O5VrACb27GW3nk.jpg,7.5,13.0,0.966397930603525,0.76056338028169,3.75
tt0011387,38296.0,The Last of the Mohicans,James Fenimore Cooper,1920.0,The Last of the Mohicans 1920,0,0,73.0,/aJTmtv0zrAVyCv7RnWENVoIU9nf.jpg,6.9,1002.0,0.372918158596471,0.676056338028169,3.45
tt0023119,38296.0,The Last of the Mohicans,James Fenimore Cooper,1932.0,The Last of the Mohicans 1932,0,0,231.0,/dwnlal1sY016SLQMEbhFTaoRm8t.jpg,5.8,103.0,-0.715128090083129,0.52112676056338,2.9
tt0027869,38296.0,The Last of the Mohicans,James Fenimore Cooper,1936.0,The Last of the Mohicans 1936,0,0,91.0,/gT493jw0j2IPeFQFQVi5jLLhTs2.jpg,6.7,1025.0,0.175091567927453,0.647887323943662,3.35
tt0104691,38296.0,The Last of the Mohicans,James Fenimore Cooper,1992.0,The Last of the Mohicans 1992,40000000,75505856,112.0,/6FHoUoYrfmwXJsDIR0s8YvV1Ctj.jpg,7.8,134075.0,1.26313781660705,0.802816901408451,3.9
tt0067328,50051.0,The Last Picture Show,Larry McMurtry,1971.0,The Last Picture Show 1971,1300000,29133000,119.0,/sq2HpOW7PLWmOcofQrA9NoEyZI0.jpg,8.1,37087.0,1.55987770261058,0.845070422535211,4.05
tt0338188,1054596.0,The Last Ride,Thomas Eidson,2003.0,The Missing 2003,60000000,0,135.0,/eAXh7In47DugzaN4VPI1T84USB6.jpg,6.5,30721.0,-0.0227350227415655,0.619718309859155,3.25
tt0384344,1054596.0,The Last Ride,Thomas Eidson,2003.0,The Missing 2003,0,0,82.0,/2LE8S6Y6X1zI9JYahf4qlG6sYxH.jpg,6.3,309.0,-0.220561613410584,0.591549295774648,3.15
