index,id,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id,id_goodreads,imdbid
0,3,De Aanslag,1982,Harry Mulisch,The Assault,1986,The Assault 1986,2753,1964904,tt0090576
1,4,About a Boy,1998,Nick Hornby,About a Boy,2002,About a Boy 2002,245,2770004,tt0276751
2,5,About Schmidt,1996,Louis Begley,About Schmidt,2002,About Schmidt 2002,2755,908745,tt0257360
3,6,Absolute Power,1996,David Baldacci,Absolute Power,1997,Absolute Power 1997,66,760769,tt0118548
4,7,The Accidental Tourist,1985,Anne Tyler,The Accidental Tourist,1988,The Accidental Tourist 1988,31052,60792,tt0094606
5,8,Across 110th,1970,0,Across 110th Street,1972,Across 110th Street 1972,23847,6916657,tt0068168
6,10,Adams Fall,2000,0,Abandon,2002,Abandon 2002,15992,1171639,tt0267248
7,11,Addie Pray,1971,Joe David Brown,Paper Moon,1973,Paper Moon 1973,11293,790338,tt0070510
8,13,Adolphe,1816,Benjamin Constant,Adolphe,2002,Adolphe 2002,18456,455696,tt0307923
9,15,The Adventurers,1966,Harold Robbins,The Adventurers,1970,The Adventurers 1970,106326,56649,tt0065374
10,16,The Adventures of Captain Alatriste,1996,Arturo Pérez-Reverte,Alatriste,2006,Alatriste 2006,13495,90411,tt0395119
11,17,The Adventures of Hajji Baba of Ispahan,1824,James Justinian Morier,The Adventures of Hajji Baba,1954,The Adventures of Hajji Baba 1954,108668,41096625,tt0046683
12,19,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1920,Huckleberry Finn 1920,243632,2956,tt0011313
13,20,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722,2956,tt0021981
14,66,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722,24583,tt0021981
15,22,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1939,The Adventures of Huckleberry Finn 1939,59403,2956,tt0031020
16,23,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1955,The Adventures of Huckleberry Finn 1955,131316,2956,tt0046684
17,24,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1960,The Adventures of Huckleberry Finn 1960,43041,2956,tt0053571
18,25,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141,2956,tt0071634
19,71,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141,24583,tt0071634
20,27,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414,2956,tt0073130
21,73,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414,24583,tt0073130
22,28,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1981,The Adventures of Huckleberry Finn 1981,127732,2956,tt0081982
23,30,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947,2956,tt0088678
24,75,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947,24583,tt0088678
25,31,Adventures of Huckleberry Finn,1884,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936,2956,tt0099087
26,76,The Adventures of Tom Sawyer,1876,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936,24583,tt0099087
27,32,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huck Finn,1993,The Adventures of Huck Finn 1993,34723,2956,tt0106223
28,33,Adventures of Huckleberry Finn,1884,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325,2956,tt0112302
29,77,The Adventures of Tom Sawyer,1876,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325,24583,tt0112302
30,36,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1940,Pinocchio 1940,10895,180617,tt0032910
31,37,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1957,Pinocchio 1957,489452,180617,tt0050846
32,38,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Buratino,1959,The Adventures of Buratino 1959,72211,180617,tt0152066
33,1216,"The Golden Key, or the Adventures of Buratino",1936,Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,1959,The Adventures of Buratino 1959,72211,3038497,tt0152066
34,39,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio in Outer Space,1965,Pinocchio in Outer Space 1965,213104,180617,tt0186449
35,40,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1968,Pinocchio 1968,489453,180617,tt0210907
36,41,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1972,Pinocchio 1972,250593,180617,tt0287351
37,42,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899,180617,tt0073570
38,1217,"The Golden Key, or the Adventures of Buratino",1936,Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899,3038497,tt0073570
39,43,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1976,Pinocchio 1976,131098,180617,tt0207653
40,45,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio and the Emperor of the Night,1987,Pinocchio and the Emperor of the Night 1987,39045,180617,tt0093743
41,46,The Adventures of Pinocchio,1883,Carlo Collodi,964 Pinocchio,1991,964 Pinocchio 1991,50162,180617,tt0225009
42,47,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1992,Pinocchio 1992,134434,180617,tt0818692
43,48,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio's Revenge,1996,Pinocchio's Revenge 1996,30926,180617,tt0117342
44,49,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Pinocchio,1996,The Adventures of Pinocchio 1996,18975,180617,tt0115472
45,50,The Adventures of Pinocchio,1883,Carlo Collodi,Geppetto,2000,Geppetto 2000,30809,180617,tt0200656
46,51,The Adventures of Pinocchio,1883,Carlo Collodi,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence 2001,644,180617,tt0212720
47,52,The Adventures of Pinocchio,1883,Carlo Collodi,A Tree of Palme,2002,A Tree of Palme 2002,30491,180617,tt0311618
48,53,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2002,Pinocchio 2002,10599,180617,tt0255477
49,54,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio 3000,2004,Pinocchio 3000 2004,23056,180617,tt0332318
50,55,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2008,Pinocchio 2008,33821,180617,tt1130992
51,59,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1939,The Adventures of Sherlock Holmes 1939,17481,3590,tt0031022
52,63,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1917,Tom Sawyer 1917,74609,24583,tt0008687
53,65,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1930,Tom Sawyer 1930,166307,24583,tt0021483
54,67,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Tom Sawyer,1938,The Adventures of Tom Sawyer 1938,30977,24583,tt0029844
55,69,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1944,The Adventures of Mark Twain 1944,120747,24583,tt0036582
56,70,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473,24583,tt0070814
57,72,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473,24583,tt0070814
58,78,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,2000,Tom Sawyer 2000,42313,24583,tt0224267
59,79,Advise and Consent,1959,Allen Drury,Advise & Consent,1962,Advise & Consent 1962,17185,1933777,tt0055728
60,81,The African Queen,1935,C. S. Forester,The African Queen,1951,The African Queen 1951,488,42740579,tt0043265
61,82,"After Dark, My Sweet",1955,Jim Thompson,"After Dark, My Sweet",1990,"After Dark, My Sweet 1990",25501,19161894,tt0098994
62,83,After Hours,1979,Edwin Torres,Carlito's Way,1993,Carlito's Way 1993,6075,710892,tt0106519
63,552,Carlito's Way,1979,0,Carlito's Way,1993,Carlito's Way 1993,6075,6044393,tt0106519
64,84,After the Funeral,1953,Agatha Christie,Murder at the Gallop,1963,Murder at the Gallop 1963,751,527744,tt0057334
65,85,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1924,The Age of Innocence 1924,278294,53835,tt0014651
66,87,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1934,The Age of Innocence 1934,110540,53835,tt0024819
67,88,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1993,The Age of Innocence 1993,10436,53835,tt0106226
68,89,The Agony and the Ecstasy,1961,Irving Stone,The Agony and the Ecstasy,1965,The Agony and the Ecstasy 1965,36815,40473,tt0058886
69,91,Äideistä parhain,1999,0,Mother of Mine,2005,Mother of Mine 2005,32990,10406937,tt0343221
70,93,Aimez-vous Brahms?,1959,Françoise Sagan,Goodbye Again,1961,Goodbye Again 1961,84119,633401,tt0054936
71,95,Air America,1985,0,Air America,1990,Air America 1990,11856,1104713,tt0099005
72,97,Airport,1968,Arthur Hailey,Airport,1970,Airport 1970,10671,124918,tt0065377
73,99,Airport,1968,Arthur Hailey,Airport '77,1977,Airport '77 1977,7227,124918,tt0075648
74,102,Alice Adams,1921,Booth Tarkington,Alice Adams,1935,Alice Adams 1935,43886,525818,tt0026056
75,104,All Fall Down,1960,James Leo Herlihy,All Fall Down,1962,All Fall Down 1962,86240,577363,tt0055738
76,105,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1923,All the Brothers Were Valiant 1923,536671,7199539,tt0013824
77,106,All the Brothers Were Valiant,1919,Ben Ames Williams,Across to Singapore,1928,Across to Singapore 1928,142159,7199539,tt0018618
78,107,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1953,All the Brothers Were Valiant 1953,91419,7199539,tt0045494
79,108,All the King's Men,1946,Robert Penn Warren,All the King's Men,1949,All the King's Men 1949,25430,5527,tt0041113
80,109,All the King's Men,1946,Robert Penn Warren,All the King's Men,2006,All the King's Men 2006,1717,5527,tt0405676
81,110,All the Pretty Horses,1992,Cormac McCarthy,All the Pretty Horses,2000,All the Pretty Horses 2000,21355,635719,tt0149624
82,112,All the Way,2001,0,Sex Drive,2008,Sex Drive 2008,13523,613897,tt1135985
83,113,All You Need Is Kill,2009,0,Edge of Tomorrow,2014,Edge of Tomorrow 2014,137113,6255949,tt1631867
84,115,Almayer's Folly,1895,Joseph Conrad,Almayer's Folly,2011,Almayer's Folly 2011,86815,398197,tt1532530
85,116,Along Came a Spider,1993,James Patterson,Along Came a Spider,2001,Along Came a Spider 2001,2043,1312928,tt0164334
86,117,Altered States,1978,Paddy Chayefsky,Altered States,1980,Altered States 1980,11542,224994,tt0080360
87,119,"Always Outnumbered, Always Outgunned",1987,Walter Mosley,Always Outnumbered,1998,Always Outnumbered 1998,26622,1141705,tt0146425
88,122,An American Dream,1965,Norman Mailer,An American Dream,1966,An American Dream 1966,131861,131793,tt0060099
89,123,American Knees,1995,Shawn Wong,Americanese,2006,Americanese 2006,214939,284182,tt0402763
90,124,American Psycho,1991,Bret Easton Ellis,American Psycho,2000,American Psycho 2000,1359,28676,tt0144084
91,126,American Splendor,1976,Harvey Pekar,American Splendor,2003,American Splendor 2003,2771,43559,tt0305206
92,127,An American Tragedy,1925,Theodore Dreiser,A Place in the Sun,1951,A Place in the Sun 1951,25673,331319,tt0043924
93,128,The Americanization of Emily,1959,William Bradford Huie,The Americanization of Emily,1964,The Americanization of Emily 1964,42791,1617171,tt0057840
94,130,Amerika,1927,Franz Kafka,Class Relations,1984,Class Relations 1984,117479,59766,tt0087566
95,131,Amerika,1927,Franz Kafka,Intervista,1987,Intervista 1987,47715,59766,tt0093267
96,132,Amerika,1927,Franz Kafka,Amerika,1994,Amerika 1994,25901,59766,tt0109101
97,134,The Amityville Horror,1977,Jay Anson,The Amityville Horror,1979,The Amityville Horror 1979,11449,293101,tt0078767
98,135,The Amityville Horror,1977,Jay Anson,The Amityville Horror,2005,The Amityville Horror 2005,10065,293101,tt0384806
99,137,Amos Judd,1895,John Ames Mitchell,The Young Rajah,1922,The Young Rajah 1922,184267,1524706,tt0013802
100,138,Amu,2005,Shonali Bose,Amu,2005,Amu 2005,25799,2782200,tt0414713
101,140,Anatomy of a Murder,1958,John D. Voelker,Anatomy of a Murder,1959,Anatomy of a Murder 1959,93,994663,tt0052561
102,141,And Now Tomorrow,1942,Rachel Field,And Now Tomorrow,1944,And Now Tomorrow 1944,130411,723668,tt0036599
103,142,And Then There Were None,1939,Agatha Christie,And Then There Were None,1945,And Then There Were None 1945,4886,16299,tt0037515
104,144,And Then There Were None,1939,Agatha Christie,Gumnaam,1965,Gumnaam 1965,82243,16299,tt0247394
105,145,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1965,Ten Little Indians 1965,4879,16299,tt0061075
106,146,And Then There Were None,1939,Agatha Christie,Zehn kleine Negerlein,1969,Zehn kleine Negerlein 1969,297834,16299,tt1014692
107,149,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1989,Ten Little Indians 1989,103761,16299,tt0098454
108,150,And Then There Were None,1939,Agatha Christie,Identity,2003,Identity 2003,2832,16299,tt0309698
109,151,The Anderson Tapes,1969,Lawrence Sanders,The Anderson Tapes,1971,The Anderson Tapes 1971,30941,5318963,tt0066767
110,153,The Andromeda Strain,1969,Michael Crichton,The Andromeda Strain,1971,The Andromeda Strain 1971,10514,1331973,tt0066769
111,155,Angel,1957,Elizabeth Taylor,Angel,2007,Angel 2007,11801,647121,tt0783767
112,163,Angels & Demons,2000,Dan Brown,Angels & Demons,2009,Angels & Demons 2009,13448,970386,tt0808151
113,165,The Angry Hills,1955,Leon Uris,The Angry Hills,1959,The Angry Hills 1959,106017,42695,tt0052563
114,167,Un animal doué de raison,1967,Robert Merle,The Day of the Dolphin,1973,The Day of the Dolphin 1973,42470,2373336,tt0069946
115,168,Animal Farm,1945,George Orwell,Animal Farm,1954,Animal Farm 1954,11848,170448,tt0047834
116,169,Animal Farm,1945,George Orwell,Animal Farm,1999,Animal Farm 1999,815,170448,tt0204824
117,170,Anna and the King of Siam,1944,Margaret Landon,Anna and the King of Siam,1946,Anna and the King of Siam 1946,43471,1284085,tt0038303
118,171,Anna and the King of Siam,1944,Margaret Landon,The King and I,1956,The King and I 1956,16520,1284085,tt0049408
119,172,Anna and the King of Siam,1944,Margaret Landon,The King and I,1999,The King and I 1999,47288,1284085,tt0160429
120,173,Anna and the King of Siam,1944,Margaret Landon,Anna and the King,1999,Anna and the King 1999,1439,1284085,tt0166485
121,174,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1914,Anna Karenina 1914,415439,3148286,tt0003625
122,175,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1915,Anna Karenina 1915,466561,3148286,tt0004897
123,177,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1935,Anna Karenina 1935,70881,3148286,tt0026071
124,178,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1948,Anna Karenina 1948,32066,3148286,tt0040098
125,181,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1967,Anna Karenina 1967,147009,3148286,tt0061359
126,183,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1985,Anna Karenina 1985,220343,3148286,tt0088726
127,184,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1997,Anna Karenina 1997,50512,3148286,tt0118623
128,186,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,2012,Anna Karenina 2012,96724,3148286,tt1781769
129,187,Anna to the Infinite Power,1979,Mildred Ames,Anna to the Infinite Power,1983,Anna to the Infinite Power 1983,110739,211044,tt0085169
130,190,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1919,Anne of Green Gables 1919,148100,8127,tt0009879
131,191,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1934,Anne of Green Gables 1934,43901,8127,tt0024831
