index,id,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id,id_goodreads,imdbid
132,192,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Windy Poplars,1940,Anne of Windy Poplars 1940,115112,8127,tt0032211
133,196,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1985,Anne of Green Gables 1985,17663,8127,tt0088727
134,198,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables: The Continuing Story,2000,Anne of Green Gables: The Continuing Story 2000,570811,8127,tt0158466
135,201,L'Année des méduses,1983,Christopher Frank,Year of the Jellyfish,1984,Year of the Jellyfish 1984,25290,150072,tt0086902
136,202,The Anointed,1937,Clyde Brion Davis,Adventure,1945,Adventure 1945,44869,42220177,tt0037494
137,204,Anthony Adverse,1933,Hervey Allen,Anthony Adverse,1936,Anthony Adverse 1936,37658,1755883,tt0027300
138,207,Apache Rising,1957,Marvin H. Albert,Duel at Diablo,1966,Duel at Diablo 1966,1403,2297934,tt0060355
139,208,A Job for Jenny,0,Faith Baldwin,Apartment for Peggy,1948,Apartment for Peggy 1948,218212,4858198,tt0040104
140,209,The Apocalypse Watch,1995,Robert Ludlum,The Apocalypse Watch,1997,The Apocalypse Watch 1997,30832,275759,tt0120027
141,210,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang,1975,The Apple Dumpling Gang 1975,18660,6356906,tt0072653
142,211,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang Rides Again,1979,The Apple Dumpling Gang Rides Again 1979,22328,6356906,tt0078790
143,213,Appointment with Death,1938,Agatha Christie,Appointment with Death,1988,Appointment with Death 1988,4281,16363,tt0094669
144,214,Appointment with Venus,1951,Jerrard Tickell,Appointment with Venus,1951,Appointment with Venus 1951,140429,626775,tt0043293
145,215,The Apprenticeship of Duddy Kravitz,1959,Mordecai Richler,The Apprenticeship of Duddy Kravitz,1974,The Apprenticeship of Duddy Kravitz 1974,42451,203073,tt0071155
146,216,Armageddon 2419 A.D.,1929,0,Buck Rogers,1939,Buck Rogers 1939,248001,627939,tt0032290
147,217,Armageddon 2419 A.D.,1929,0,Buck Rogers in the 25th Century,1979,Buck Rogers in the 25th Century 1979,3786,627939,tt0077278
148,220,Arouse and Beware,1936,MacKinlay Kantor,The Man from Dakota,1940,The Man from Dakota 1940,192510,34145273,tt0031617
149,221,Arrowsmith,1925,Sinclair Lewis,Arrowsmith,1931,Arrowsmith 1931,84298,11389,tt0021622
150,224,Ascenseur pour l'échafaud,1951,0,Elevator to the Gallows,1958,Elevator to the Gallows 1958,1093,33084028,tt0051378
151,225,Ask the Dust,1939,John Fante,Ask the Dust,2006,Ask the Dust 2006,1967,46227,tt0384814
152,226,Asking for Trouble,2001,Elizabeth Young,The Wedding Date,2005,The Wedding Date 2005,6961,322007,tt0372532
153,227,The Asphalt Jungle,1949,W. R. Burnett,The Asphalt Jungle,1950,The Asphalt Jungle 1950,16958,439283,tt0042208
154,229,"The Assassination Bureau, Ltd",1963,Jack London,The Assassination Bureau,1969,The Assassination Bureau 1969,69526,1684752,tt0064045
155,230,The Assassination of Jesse James by the Coward Robert Ford,1983,Ron Hansen,The Assassination of Jesse James by the Coward Robert Ford,2007,The Assassination of Jesse James by the Coward Robert Ford 2007,4512,320730,tt0443680
156,231,L'Assommoir,1877,Émile Zola,Gervaise,1956,Gervaise 1956,52726,92967,tt0049259
157,232,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,1915,Assunta Spina 1915,174203,19510054,tt0003637
158,234,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,1948,Assunta Spina 1948,195394,19510054,tt0039163
159,235,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,2006,Assunta Spina 2006,124969,19510054,tt0886453
160,237,Asylum,1996,Patrick McGrath,Asylum,2005,Asylum 2005,24461,895483,tt0348505
161,238,At Play in the Fields of the Lord,1965,Peter Matthiessen,At Play in the Fields of the Lord,1991,At Play in the Fields of the Lord 1991,51515,769729,tt0101373
162,239,At the Earth's Core,1914,Edgar Rice Burroughs,At the Earth's Core,1976,At the Earth's Core 1976,26398,215950,tt0074157
163,240,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751,215950,tt0373051
164,240,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361,215950,tt1231575
165,240,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929,215950,tt1156454
166,3134,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751,32829,tt0373051
167,3134,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361,32829,tt1231575
168,3134,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929,32829,tt1156454
169,3136,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751,32829,tt0373051
170,3136,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361,32829,tt1231575
171,3136,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929,32829,tt1156454
172,3137,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751,32829,tt0373051
173,3137,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361,32829,tt1231575
174,3137,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929,32829,tt1156454
175,241,Atlantis,1912,Gerhart Hauptmann,Atlantis,1913,Atlantis 1913,179835,6600698,tt0002646
176,242,Atonement,2001,Ian McEwan,Atonement,2007,Atonement 2007,4347,831824,tt0783233
177,243,Audrey Rose,1975,0,Audrey Rose,1977,Audrey Rose 1977,49126,455764,tt0075704
178,246,Auntie Mame,1955,Patrick Dennis,Auntie Mame,1958,Auntie Mame 1958,16347,187060,tt0051383
179,247,Avalon High,2005,Meg Cabot,Avalon High,2010,Avalon High 2010,50479,187812,tt1614950
180,248,The Aviator,1981,Ernest K. Gann,The Aviator,1985,The Aviator 1985,73462,1784015,tt0088758
181,249,Away All Boats,1953,0,Away All Boats,1956,Away All Boats 1956,80775,1835865,tt0048971
182,250,An Awfully Big Adventure,1989,Beryl Bainbridge,An Awfully Big Adventure,1995,An Awfully Big Adventure 1995,22279,2078305,tt0112427
183,254,Babylon Babies,1999,Maurice Georges Dantec,Babylon A.D.,2008,Babylon A.D. 2008,9381,187899,tt0364970
184,255,Back Street,1931,Fannie Hurst,Back Street,1932,Back Street 1932,109197,1868821,tt0022651
185,256,Back Street,1931,Fannie Hurst,Back Street,1941,Back Street 1941,109016,1868821,tt0033365
186,257,Back Street,1931,Fannie Hurst,Back Street,1961,Back Street 1961,43017,1868821,tt0054653
187,258,Back When We Were Grownups,2001,Anne Tyler,Back When We Were Grownups,2004,Back When We Were Grownups 2004,125301,77696,tt0387851
188,259,Background to Danger,0,Eric Ambler,Background to Danger,1943,Background to Danger 1943,34944,46437,tt0035659
189,260,Bad Girl,1928,Viña Delmar,Bad Girl,1931,Bad Girl 1931,84299,3287661,tt0021635
190,261,The Bad Seed,1954,Maxwell Anderson,The Bad Seed,1956,The Bad Seed 1956,42196,467032,tt0048977
191,262,The Bad Seed,1954,Maxwell Anderson,The Bad Seed,1985,The Bad Seed 1985,123075,467032,tt0088766
192,264,Baise-moi,1999,Virginie Despentes,Baise-moi,2000,Baise-moi 2000,3134,373687,tt0249380
193,265,The Bait,1968,Dorothy Uhnak,The Bait,1973,The Bait 1973,252914,4835532,tt0069763
194,266,The Ballad of Cat Ballou,1956,0,Cat Ballou,1965,Cat Ballou 1965,11694,3250464,tt0059017
195,267,The Ballad of the Flim-Flam Man,1965,0,The Flim-Flam Man,1967,The Flim-Flam Man 1967,42407,1412441,tt0061678
196,268,The Ballad of the Running Man,1963,0,The Running Man,1963,The Running Man 1963,144299,3674391,tt0057463
197,269,Balzac et la petite tailleuse chinoise,2000,Dai Sijie,Balzac and the Little Chinese Seamstress,2002,Balzac and the Little Chinese Seamstress 2002,2111,875069,tt0291032
198,270,Band of Angels,1955,Robert Penn Warren,Band of Angels,1957,Band of Angels 1957,37311,120765,tt0050166
199,272,Banner in the Sky,1900,James Ramsey Ullman,Third Man on the Mountain,1959,Third Man on the Mountain 1959,64867,333766,tt0053352
200,273,The Barefoot Mailman,1943,Theodore Pratt,The Barefoot Mailman,1951,The Barefoot Mailman 1951,269253,380258,tt0043319
201,274,Basil of Baker Street,1958,Eve Titus,The Great Mouse Detective,1986,The Great Mouse Detective 1986,9994,1005680,tt0091149
202,275,Bastard Out of Carolina,1992,Dorothy Allison,Bastard Out of Carolina,1996,Bastard Out of Carolina 1996,41240,52663,tt0115633
203,276,Battle Cry,1953,Leon Uris,Battle Cry,1955,Battle Cry 1955,51426,42694,tt0047860
204,277,The Battle of the Villa Fiorita,1963,Rumer Godden,The Battle of the Villa Fiorita,1965,The Battle of the Villa Fiorita 1965,236570,992611,tt0058949
205,278,Battle Royale,1999,Koushun Takami,Battle Royale,2000,Battle Royale 2000,3176,4011730,tt0266308
206,279,Battle Royale,1999,Koushun Takami,Battle Royale II: Requiem,2003,Battle Royale II: Requiem 2003,3177,4011730,tt0338763
207,280,Battlefield Earth,1982,L. Ron Hubbard,Battlefield Earth,2000,Battlefield Earth 2000,5491,6412519,tt0185183
208,281,Be Cool,1999,Elmore Leonard,Be Cool,2005,Be Cool 2005,4551,288973,tt0377471
209,282,Be Ready with Bells and Drums,1961,Elizabeth Kata,A Patch of Blue,1965,A Patch of Blue 1965,33364,8571481,tt0059573
210,284,The Beach,1996,Alex Garland,The Beach,2000,The Beach 2000,1907,2486417,tt0163978
211,285,Beaches,1985,Iris Rainer Dart,Beaches,1988,Beaches 1988,15592,915001,tt0094715
212,288,The Beast Master,1959,Andre Norton,The Beastmaster,1982,The Beastmaster 1982,16441,7476314,tt0083630
213,289,The Beast Master,1959,Andre Norton,Beastmaster 2: Through the Portal of Time,1991,Beastmaster 2: Through the Portal of Time 1991,27549,7476314,tt0101412
214,290,The Beast Master,1959,Andre Norton,Beastmaster III: The Eye of Braxus,1996,Beastmaster III: The Eye of Braxus 1996,36291,7476314,tt0112469
215,295,The Beast Within,1981,Edward Levy,The Beast Within,1982,The Beast Within 1982,40219,314245,tt0083629
216,296,Beat the Devil,1951,Claud Cockburn,Beat the Devil,1953,Beat the Devil 1953,22733,4795742,tt0046414
217,298,Beau Geste,1924,P. C. Wren,Beau Geste,1926,Beau Geste 1926,189621,997335,tt0016634
218,299,Beau Geste,1924,P. C. Wren,Beau Hunks,1931,Beau Hunks 1931,48755,997335,tt0021646
219,300,Beau Geste,1924,P. C. Wren,Beau Geste,1939,Beau Geste 1939,36851,997335,tt0031088
