book_id,genre,possible_filter
915001,Fiction,0
915001,Womens Fiction,1
915001,Drama,0
915001,Romance,1
7199539,Historical,1
17214,Science Fiction,1
17214,Fiction,0
17214,Classics,1
310918,Fiction,0
310918,Contemporary,1
310918,European Literature,1
310918,British Literature,0
3590,Classics,1
3590,Mystery,1
3590,Fiction,0
3590,Short Stories,0
3590,Crime,1
89717,Horror,1
89717,Classics,1
89717,Fiction,0
89717,Gothic,0
89717,Mystery,1
89717,Fantasy,1
89717,Paranormal,1
769000,Historical,1
769000,Fiction,0
769000,Classics,1
769000,Young Adult,1
769000,Academic,0
3250464,Westerns,1
3250464,Fiction,0
3250464,Humor,1
3250464,Romance,1
3250464,Historical,1
3167863,Young Adult,1
3167863,Mystery,1
3167863,Fiction,0
3167863,Science Fiction,1
3167863,Horror,1
3167863,Gothic,0
3167863,Childrens,1
3167863,Fantasy,1
2696061,Classics,1
284182,Fiction,0
284182,Literature,1
284182,Asian Literature,0
284182,Cultural,1
1022778,Mystery,1
1022778,Crime,1
1022778,Fiction,0
1022778,Thriller,1
33507,Classics,1
33507,Science Fiction,1
33507,Fiction,0
33507,Adventure,1
123203,Animals,1
123203,Horses,0
123203,Childrens,1
123203,Young Adult,1
123203,Fiction,0
123203,Classics,1
7140096,Fiction,0
7140096,Mystery,1
7140096,Noir,1
7140096,Crime,1
7140096,Classics,1
973352,Fiction,0
973352,Classics,1
973352,Literature,1
973352,Historical,1
224994,Fiction,0
224994,Science Fiction,1
224994,Horror,1
224994,Psychology,0
223691,Horror,1
223691,Fiction,0
223691,Mystery,1
223691,Fantasy,1
223691,Suspense,0
223691,Thriller,1
1676273,Fiction,0
1676273,Mystery,1
1676273,Crime,1
1676273,Noir,1
1676273,Thriller,1
253202,Fiction,0
253202,European Literature,1
253202,Irish Literature,0
253202,Cultural,1
253202,Ireland,0
253202,Academic,0
253202,Classics,1
253202,Historical,1
253202,Literature,1
253202,20th Century,0
512704,Fiction,0
512704,Classics,1
512704,Humor,1
