,adjusted_revenue,year,avg_rating,rating_count,review_count,length,standardized_rating,normalized_rating,part_of_series,one_star_percentage,two_stars_percentage,three_stars_percentage,four_stars_percentage,five_stars_percentage,genre_count,genre_Adventure,genre_Childrens,genre_Classics,genre_Crime,genre_Cultural,genre_Fantasy,genre_Fiction,genre_Historical,genre_Horror,genre_Literature,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_Young Adult
0,774221512.7735089,1934,4.04,100500.0,4387.0,209.0,0.676011210517658,0.68,1,0.015960199004975126,0.053422885572139304,0.2152139303482587,0.31039800995024874,0.4050049751243781,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,18708255.505433217,1969,3.43,387.0,54.0,192.0,-1.4443289613216,0.476666666666667,0,0.05167958656330749,0.12144702842377261,0.34366925064599485,0.30749354005167956,0.17571059431524547,7,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
2,138394835.4805603,1590,4.01,5087.0,420.0,306.0,0.571732185673104,0.67,0,0.013957145665421663,0.05170041281698447,0.19657951641438962,0.3845095341065461,0.35325339099665815,6,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
3,1486988.3115860003,1959,4.0,1988.0,68.0,0.0,0.53697251072492,0.666666666666667,1,0.005533199195171026,0.03822937625754527,0.24748490945674045,0.3682092555331992,0.34054325955734405,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
5,95228538.08349824,2009,4.15,474579.0,11534.0,390.0,1.05836763494769,0.716666666666667,0,0.016248085144938987,0.039856377968683826,0.17495085117546288,0.3183811335941961,0.45056355211671817,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,64489065.70133573,1991,3.84,1077.0,91.0,152.0,-0.0191822884460323,0.613333333333333,0,0.018570102135561744,0.056638811513463325,0.2692664809656453,0.3732590529247911,0.2822655524605385,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,58900240.823882334,1988,3.88,125503.0,2085.0,448.0,0.119856411346706,0.626666666666667,1,0.01532234289220178,0.06694660685401943,0.26184234639809406,0.33439838091519725,0.32149032294048746,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
8,26484936.049265753,1942,4.0,2108.0,264.0,219.0,0.53697251072492,0.666666666666667,0,0.012333965844402278,0.04079696394686907,0.21726755218216318,0.3980075901328273,0.33159392789373815,6,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
9,167608282.5787199,1966,3.97,12432.0,625.0,280.0,0.432693485880367,0.656666666666667,1,0.011583011583011582,0.04222972972972973,0.22023809523809523,0.421010296010296,0.30493886743886744,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
10,71527944.008705,1958,3.69,707.0,77.0,196.0,-0.540577412668799,0.563333333333333,0,0.024045261669024046,0.07496463932107496,0.29985855728429983,0.38896746817538896,0.21216407355021216,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
11,67596359.48414831,1946,4.08,29969.0,3083.0,335.0,0.815049910310396,0.693333333333333,0,0.024024825653174948,0.05452300710734426,0.16540425105942808,0.32627047949547866,0.4297774366845741,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
12,71234810.60606061,1955,3.89,578717.0,21023.0,417.0,0.154616086294891,0.63,0,0.039914154932376274,0.0710934705564205,0.2087877148934626,0.32215746211015056,0.35804719750759006,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
13,8179479.366189461,2000,3.56,23376.0,1557.0,288.0,-0.992453186995197,0.52,0,0.02947467488021903,0.1016854893908282,0.3269592744695414,0.361652977412731,0.18022758384668036,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14,84688026.9564334,2001,4.05,423832.0,16367.0,664.0,0.710770885465842,0.683333333333333,1,0.01305234149379943,0.04078974688083958,0.1940438664376451,0.38473734876082977,0.36737669642688614,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
15,183178051.35287094,1990,4.2,26930.0,734.0,496.0,1.23216600968861,0.733333333333333,1,0.01344225770516153,0.030152246565168957,0.1397326401782399,0.37378388414407726,0.4428889714073524,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
16,281569424.8366953,1952,4.0,2281.0,224.0,432.0,0.53697251072492,0.666666666666667,0,0.00920648838228847,0.04208680403331872,0.2240245506356861,0.3910565541429198,0.33362560280578696,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
17,46576927.016754515,1947,3.8,330.0,33.0,320.0,-0.15822098823877,0.6,0,0.03333333333333333,0.06666666666666667,0.25757575757575757,0.3515151515151515,0.2909090909090909,6,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
18,30588310.615975723,2000,4.17,4434.0,240.0,208.0,1.12788698484406,0.723333333333333,1,0.02480829950383401,0.05390166892196662,0.16350924672981507,0.2451511050969779,0.5126296797474064,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
19,626801494.3905222,1995,3.89,36319.0,2251.0,324.0,0.154616086294891,0.63,1,0.01720862358545114,0.06027148324568408,0.24973154547206697,0.3582422423524877,0.31454610534431016,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
20,71771116.81643133,1895,3.75,2081.0,43.0,628.0,-0.332019362979692,0.583333333333333,1,0.03604036520903412,0.09514656415185008,0.24795771263815472,0.32628543969245555,0.29456991830850554,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,39232029.132791325,1982,3.51,15467.0,1167.0,1008.0,-1.16625156173612,0.503333333333333,0,0.10700200426714941,0.11385530484256805,0.22473653585052047,0.27057606517100924,0.28383008986875286,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
22,192829642.16821292,2005,4.13,124360.0,7075.0,309.0,0.988848285051318,0.71,0,0.013806690254100997,0.03443229334191058,0.15014474107430043,0.40745416532647155,0.3941621100032165,9,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
23,273728713.8064967,1962,4.09,4910.0,194.0,160.0,0.84980958525858,0.696666666666667,1,0.010794297352342158,0.037270875763747456,0.21466395112016293,0.3228105906313646,0.41446028513238287,10,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
